ST_LABEL,L_ZIP,R_ZIP
MERRICK BLVD,11433,11433
NOSTRAND AV,11225,11225
E 137 ST,10454,10454
AV X,11223,11223
HILLSIDE AV,11418,11418
MAGUIRE AV,10309,10309
FDR DR NB EN BK BR,10038,10038
1 AV,10035,10035
180 ST,11434,11434
ALAMEDA AVE,11362,11362
E 132 ST,10454,10454
MERMAID AV,11224,11224
PAULDING AV,10466,10466
132 ST,11418,11418
BRUCKNER EXPY EXIT 8A SB,10461,10461
CBE NB ET 1A LOWERDECK,10033,10033
MARCY AV,11211,11211
26 AV,11360,11360
E 7 ST,11218,11218
111 AV,11420,11420
GIFFORDS LA,10308,10308
MAIN ST,11435,11435
11 AV,11219,11219
BELL BLVD,11364,11364
46 AV,11361,11361
MOTT ST,10013,10013
DIVISION AV,11211,11211
ARLINGTON AV,10471,10471
BERRY PL,10035,10035
16 AV,11204,11204
ROCKAWAY BEACH BLVD,11694,11694
UNNAMED ST,10312,10312
40 AV,11363,11363
FOREST AV,10302,10302
76 ST,11379,11379
E 10 ST,10009,10009
8 AV,11215,11215
91 AV,11421,11421
RICHMOND RD,10306,10306
NORTHERN BLVD,11358,11358
228 ST,11413,11413
E 107 ST,10029,10029
COCO CT,10312,10312
HINSDALE ST,11207,11207
157 AV,11414,11414
E 87 ST,11236,11236
HIGH ROCK PARK PATH,10314,10314
101 AV,11416,11416
SEWARD AV,10473,10473
204 ST,11423,11423
PENN ST,11249,11249
E 5 ST,11230,11230
AMBOY RD,10309,10309
18 AVE,11356,11356
54 AV,11373,11373
251 ST,11362,11362
CENTRAL PARK W,10024,10024
PORT RICHMOND AV,10302,10302
E 23 ST,11210,11210
CROSS BRONX EXWY,10465,10465
BAILEY AV,10463,10463
E 236 ST,10466,10466
GRAND ST,11249,11249
HENRY HUDSON PKWY,10471,10471
ALLEY,11368,11368
164 ST,11365,11365
E 144 ST,10451,10451
65 ST,11219,11219
W 6 ST,11223,11223
JESUP AV,10452,10452
PARK AVE,10457,10457
LONG ISLAND EXPY,11375,11375
CPW 110 APPR,10000,10000
ALLEY,11367,11367
QUEENS BLVD,11373,11373
ROBERT F KENNEDY BRG,10035,10035
E 196 ST,10468,10468
170 ST,11432,11432
79 AV,11385,11385
JEFFERSON ST,10304,10304
MILES AV,10465,10465
PARKWAY CT,11235,11235
SPRINGFIELD BLVD,11429,11429
HOOK CREEK BLVD,11422,11422
TILSON PL,10305,10305
EASTERN PKWY,11213,11213
S CONDUIT AV,11434,11434
16 AV,11218,11218
SOUTH ST,11205,11205
CENTRAL PARK W,10024,10024
113 RD,11412,11412
87 ST,11421,11421
GETZ AV,10312,10312
MACOMBS PL,10039,10039
PEDESTRIAN AND BIKE PATH LINK,,
W SHORE EXWY,10309,10309
HASBROUCK RD,10304,10304
88 RD,11426,11426
FRANKLIN ST,11222,11222
85 AV,11432,11432
RICHMOND UNIV MEDICAL CNTR DVWY,10304,10304
BUTLER HOUSES PEDESTRIAN PATH,10456,10456
CROPSEY AV,11214,11214
MORRIS AV,10457,10457
HUDSON ST,10013,10013
11 AVE,10011,10011
E 233 ST,10470,10470
ALLEY,11235,11235
CROSS ISLAND PKWY,11357,11357
62 RD,11367,11367
W 65 ST,10023,10023
BAY 16 ST,11214,11214
43 AV,11368,11368
W 181 ST,10033,10033
SHARROTTS RD,10309,10309
HERRICK AV,10309,10309
CLOVERDALE BLVD,11364,11364
AVIATION RD,11234,11234
QUEENS BLVD,11377,11377
ALLEY,11209,11209
COLLEGE PL,11356,11356
FDR DRIVE EXIT 5 NB,10002,10002
162 ST,11366,11366
BALTIC ST,11217,11217
CITY ISLAND AV,10464,10464
PIKE SLIP,10002,10002
STANLEY CIR,10308,10308
KINGS HWY,11234,11234
ED KOCH QUEENSBORO BRG,,
RANDALL AV,10465,10465
WATKINS ST,11212,11212
15 RD,11360,11360
MONTREAL AV,10306,10306
69 ST,11377,11377
18 AV,11356,11356
BENNETT AV,10312,10312
CROSS BRONX EXWY,10465,10465
114 ST,11368,11368
171 ST,11358,11358
SAND LA,10305,10305
OCEAN AV,11230,11230
EMPIRE AV,11691,11691
BLAKE AV,11207,11207
KOCH BR PEDESTRIAN AND BIKE PATH,11101,11101
ALLEY,11223,11223
CAROUSEL WAY,11355,11355
MAJOR DEEGAN EXWY,10454,10454
COUNTRY CLUB RD,10465,10465
EASTCHESTER PL,10475,10475
83 AV,11435,11435
WESTERN AV,10303,10303
BRUCKNER BLVD,10465,10465
TILDEN ST,10469,10469
2 AV,10017,10017
DITMAS AV,11236,11236
BLEECKER ST,10012,10012
BELT PKWY,11235,11235
MARION AV,10458,10458
ELY CT,10312,10312
WHITESTONE EXPY,11368,11368
25 AVE,11357,11357
FLUSHING AV,11378,11378
E 14 ST,10009,10009
EDERLE PROM,11355,11355
VANDERVOORT AV,11222,11222
MILLER AV,11207,11207
CAMPUS RD,11210,11210
104 ST,11418,11418
259 ST,11001,11001
94 ST,11373,11373
LAUREL HILL BLVD,11377,11377
OGDEN AV,10452,10452
NORTHERN BLVD,11368,11368
HUTCHINSON RIVER GREENWAY,10464,10464
46 ST,11104,11104
E 196 ST,10461,10461
VAN WYCK EXPY,11435,11418
BRUCKNER BLVD,10461,10465
WASHINGTON ST,10014,10014
VICTORY BLVD,10314,10314
21 AV,11357,11357
COURT ST,11231,11231
E NEW YORK AV,11212,11212
GREAT KILLS PARK DVWY,10306,10306
COMMERCIAL WHARF,11231,11231
E 141 ST,10454,10454
60 AV,11362,11362
LINDEN BLVD,11212,11212
KENSICO ST,10306,10306
CHESTNUT CT,11208,11208
94 ST,11369,11369
ESTATES LA,11360,11360
CYRUS AV,11229,11229
JAY ST,10013,10013
BEACH 43 ST,11691,11691
HARLEM RIVER DR,10035,10035
PELTON PL,10310,10310
233 ST,11411,11411
JFK TERMINAL 7 ACCESS ROAD,11430,11430
CASTOR PL,10312,10312
RUGBY RD,11226,11226
OAK PARK DR,11362,11362
OLD FULTON ST,11201,11201
LOUIS NINE BLVD,10459,10459
FARMERS BLVD,11412,11412
53 AV,11368,11368
WOODHAVEN BLVD,11374,11374
RALPH AV,11233,11233
111 ST,11418,11418
DRIVEWAY,11691,11691
59 AV,11364,11364
OAK AV,10306,10306
W 36 ST,11224,11224
WOODHAVEN BLVD,11416,11416
BODINE ST,10310,10310
HUGH L CAREY TUNNEL EXIT,10004,10004
GRAND CONCOURSE,10452,10452
ALLEY,11377,11377
37 ST,11101,11101
BEACH 90 ST,11693,11693
CLOVE LAKES PARK PATH,,
221 ST,11361,11361
ATLANTIC AV,11418,11418
HUTCHINSON RIVER PKWY SB EN SHR,10464,10464
LINDEN BLVD,11208,11208
ALLEY,11378,11378
90 ST,11373,11373
BERRY HOUSES PEDESTRIAN PATH,10306,10306
FRANCIS LEWIS BLVD,11413,11413
CYPRESS AV,11385,11385
HARRISON AV,10302,10302
48 ST,11378,11378
WESTCHESTER AV,10472,10472
NAUGHTON AV,10305,10305
BEACH 84 ST,11693,11693
50 AV,11365,11365
DR M L KING JR EXWY,10302,10302
WOEHRLE AV,10312,10312
ST NICHOLAS AV,11237,11237
47 ST,11204,11204
LONG ISLAND EXPWY ET 13 EB,11101,11101
ALLEY,11236,11236
BROOKLYN QUEENS EXWY,11231,11231
TERRACE AV,10309,10309
LINDEN BLVD,11412,11412
CORONA AV,11368,11368
259 ST,11422,11422
VERRAZZANO BRIDGE APPROACH,11209,11209
RANDALL AV,10474,10474
WILLIAMSBRIDGE RD,10469,10469
YORK AV,10301,10301
14 ST,11102,11102
COLLEGE OF STATEN ISLAND DVWY,10314,10314
64 RD,11374,11374
KINGSBURY AV,11364,11364
GOWANUS EXWY,11209,11209
OCCIDENT AV,10304,10304
E FORDHAM RD,10458,10458
HOLLIS CT BLVD,11427,11427
91 AV,11421,11421
VAN WYCK EXPRESSWAY EXIT 2 SB,11420,11420
BAYSIDE AV,11697,11697
CASTLETON AV,10301,10301
167 ST,11365,11365
LONGSTREET AV,10465,10465
6 AV,11217,11217
CENTRE MALL,11231,11231
JOHN F KENNEDY EXWY,11430,11430
NORMAN AV,11222,11222
COCO CT,10308,10308
CROSS IS PKWY,11357,11357
90 AV,11428,11428
E 177 ST,10460,10460
WILLOWBROOK RD,10314,10314
UNIONPORT RD,10462,10462
CODY PL,10312,10312
JUGHANDLE,10312,10312
MARTIN CT,11691,11691
DRUMGOOLE RD E,10309,10309
EASTERN PKWY,11233,11233
SELFRIDGE ST,11375,11375
NEPONSIT AV,11694,11694
ALLEY,11367,11367
MARTENSE AV,11368,11368
UTICA AV,11233,11213
ROCKAWAY PT BLVD,11697,11697
GRANDVIEW AV,10303,10303
174 PL,11434,11434
VAN NEST AV,10461,10461
LONG ISLAND EXPY,11101,11101
TOWNSEND ST,11222,11222
DEPOT RD,11358,11358
HIGHLAND PL,,
86 AV,11418,11418
ALLEY,11375,11375
222 ST,11411,11411
VAN CORTLANDT PARK S,10463,10463
PEDESTRIAN PATH,11229,11229
ALLEY,11220,11220
PEDESTRIAN PATH,10305,10305
NEPTUNE AV,11224,11224
23 AV,11214,11214
CIP NB EN 81 AV,11426,11426
WESTCHESTER AV BR,10472,10472
BROADWAY,10471,10471
TENNYSON DR,10308,10308
BEACH 134 ST,11694,11694
JFK ACCESS ROAD,11430,11430
ALLEY,11413,11413
CROYDON RD,11432,11432
ALLEY,11209,11209
COURTLANDT AV,10451,10451
BARUCH PL,10002,10002
CATTARAUGUS ST,10301,10301
36 ST,11101,11101
CIRCLE GARDEN PATH,11355,11355
95 ST,11414,11414
HENRY HUDSON PARKWAY ET 24 SB,10471,10471
46 AV,11358,11358
EMMONS AV,11229,11234
BEACH 14 ST,11691,11691
WHITE PLAINS RD,10460,10460
72 ST,11228,11228
FAIRBURY AV,11428,11428
FLATBUSH AV,11234,11234
FOCH BLVD,11436,11436
DAHLIA ST,10312,10312
3 AV,10451,10455
E 35 ST,11203,11203
93 RD,11428,11428
CANAL PL,10451,10451
3 AV,10451,10451
221 ST,11411,11411
BEVERLEY ROAD,11218,11218
PALMER DR,11697,11697
BEDFORD AV,11225,11225
LONG ISLAND EXPY,11374,11374
UNNAMED ST,11370,11370
AV P,11204,11204
86 AV,11435,11435
HOPKINS AV,10306,10306
W 214 ST,10034,10034
FOREST AV,10456,10456
HAMILTON PL,10031,10031
3 AV,10455,10455
69 AV,11365,11365
ELMBANK ST,10312,10312
WHITEHALL TER,11427,11427
BEACH 73 ST,11692,11692
SCHENECTADY AV,11213,11213
TOMPKINS AV,10305,10305
ELM DR,10462,10462
E 68 ST,10065,10065
3 AV,10458,10458
CRAIG AV,10307,10307
E 54 ST,11234,11234
ALLEY,11236,11236
FLORENCE ST,10308,10308
HOWARD AV,10301,10301
135 AV,11422,11422
NICHOLS AV,11208,11208
52 AV,11378,11378
HART ST,11237,11237
TILDEN AV,11203,11203
LILY POND AV,10305,10305
KISSENA BLVD,11355,11355
DITMARS BLVD,11369,11369
E 1 ST,11223,11223
181 ST,11413,11413
BEACH 106 ST,11694,11694
PROSPECT AV,10301,10301
ROBERTO CLEMENTE PARK GREENWAY,10453,10453
GANSEVOORT ST,10014,10014
LINCOLN TUN,10018,10018
SHORE PKWY,11235,11235
RESEARCH AV,10465,10465
150 PL,11354,11354
MYRTLE AV,11221,11221
76 RD,11367,11367
ALLEY,11379,11379
ST JOHNS AVENUE,10305,10305
SHERIDAN EXWY NB EN WESTCHESTER,10459,10459
PARK AV,10456,10456
MARCUS GARVEY BLVD,11206,11206
W 15 ST,10011,10011
CENTRAL RD,10035,10035
POPHAM AV,10452,10452
W 132 ST,10027,10027
E BURNSIDE AV,10453,10453
133 AV,11420,11420
PARK HILL AV,10304,10304
WALLACE AV,10467,10467
W 77 ST,10024,10024
CRANSTON ST,11434,11434
190 ST,11423,11423
ELWOOD AV,10314,10314
TIGER CT,10314,10314
96 PL,11417,11417
BARRETT AV,10302,10302
ALLEY,11375,11375
BRADDOCK AV,11426,11426
HOLLIS AV,11412,11412
PUGSLEY CREEK GREENWAY,10473,10473
W 125 ST,10027,10027
ALLEY,11223,11223
W 133 ST,10027,10027
BRUCKNER BLVD,10454,10454
PEDESTRIAN PATH,10462,10462
PEDESTRIAN PATH,11377,11377
ELLSWORTH AV,10465,10465
BOOTH ST,11373,11373
STATEN ISLAND EXPWY ET 7 EB,10314,10314
95 ST,11369,11369
PORT LIBERTE-WALL ST FERRY RTE,,
WEBSTER AV,10456,10456
AMBOY RD,10312,10312
DRIVEWAY,10475,10475
PATH OF RESEARCH,11355,11355
PARK VIEW PLACE,10310,10310
CAROUSEL LOOP,11355,11355
CAFFREY AV,11691,11691
E 63 ST,10065,10065
AZTEC PL,11691,11691
E 86 ST,11236,11236
TRINA LA,10309,10309
ALLEY,11234,11234
GUY R BREWER BLVD,11434,11434
SHORE PARKWAY GREENWAY,11234,11234
LINDEN ST,11221,11221
SHEEPSHEAD BAY RD,11235,11235
BLOOMINGDALE PARKWAY GREENWAY,10309,10309
MYRTLE AV,11205,11205
ALLEY,11378,11378
STILLWELL AV,11223,11223
UTICA AV,11213,11213
CROSS BRONX EXWY,10465,10465
WINDERMERE RD,10305,10305
REDFIELD ST,11362,11362
RHINELANDER AV,10461,10461
EASTERN PKWY,11233,11233
HALLECK ST,10474,10474
RFK BR MANHATTAN ET RP RANDALLS,10035,10035
83 ST,11379,11379
CLASSON AV,11205,11205
42 ST,11104,11104
UNNAMED ST,11694,11694
LEXINGTON AV,10128,10128
W 15 ST,11224,11224
120 AV,11412,11412
AMBOY ST,11212,11212
AV N,11234,11234
BOLLER AV,10466,10466
VETERANS RD W,10309,10309
TAAFFE PL,11205,11205
SOMERSET ST,11432,11432
WOODHAVEN BLVD,11385,11385
SEAVIEW AV,11236,11236
ALLEY,11105,11105
BEACH 146 ST,11694,11694
E 35 ST,11203,11203
N GANNON AV,10314,10314
PACIFIC AV,10312,10312
CARROLL ST,11213,11213
33 RD,11106,11106
123 ST,11356,11356
BELT PKWY,11414,11414
7 AV,11215,11215
BRONX RIVER PKWY,10470,10470
49 RD,11364,11364
21 ST,11102,11102
161 ST,11358,11358
ALLEY,11365,11365
LINDEN BLVD,11208,11208
BEACH 88 ST,11693,11693
14 AV,11219,11219
BENEDICT AV,10314,10314
BROADWAY,10032,10032
TORRY AV,10473,10473
HECKSCHER BALLFIELDS PATH,83,83
PEARTREE AV,10475,10475
OTIS AV,10306,10306
31 RD,11354,11354
LINCOLN AV,10306,10306
W FINGERBOARD RD,10305,10305
GRAND CENTRAL PKWY,11426,11426
FLUSHING AV,11378,11378
109 AV,11417,11417
DEMOREST AV,10314,10314
9 AV,10019,10019
ZEREGA AV,10462,10462
96 ST,11369,11369
DELMAR AV,10312,10312
PIERPONT PL,10314,10314
SHIRLEY AV,10312,10312
HARLEM RIVER DR,10039,10039
CONYINGHAM AV,10301,10301
168 ST,11434,11434
G WASHINGTON BR EN W 179 ST,10033,10033
QUEENS BLVD,11377,11377
STILLWELL AV,11223,11223
WHITESTONE EXPY,11368,11368
QUINCE AV,11355,11355
CHRISTOPHER ST,10014,10014
115 AV,11436,11436
STATE RD,11697,11697
FLUSHING AV,11378,11378
MELBA ST,10314,10314
E 58 ST,11234,11234
HENRY HUDSON PKWY,10471,10471
PEDESTRIAN AND BIKE PATH LINK,10038,10038
21 AV,11214,11214
KINGS HWY,11229,11229
CPW 100 APPR,10000,10000
MCDONALD AVENUE,11230,11230
97 ST,11374,11374
108 ST,11368,11368
BEACH 44 ST,11691,11691
DUNHAM ST,10309,10309
LINDEN BLVD,11411,11411
MARATHON PKWY,11363,11363
RICHMOND TER,10301,10301
JOLINE LA,10307,10307
CAMP RD,11691,11691
REEDS MILL LA,10475,10475
27 AV,11102,11102
84 AV,11415,11415
BERRY ST,11249,11249
LONG ISLAND EXPY,11101,11101
STRYKER CT,11223,11223
BELMONT AV,11212,11212
MANHATTAN BRIDGE PEDESTRIAN PATH,10002,10002
W 144 ST,10031,10031
84 DR,11432,11432
CONNECTOR,11413,11413
DICKENS ST,11691,11691
LAMONT AV,10312,10312
MC CLEAN AV,10305,10305
FRANKLIN D ROOSEVELT DRIVE,10002,10002
STRAUSS ST,11212,11212
MERRICK BLVD,11434,11434
139 AV,11413,11413
KINGS HWY,11203,11203
LINDEN BLVD,11411,11411
CONNECTOR,10305,10305
SOUNDVIEW PARK PATH,10473,10473
HAMILTON AVE,11231,11231
DITMARS BLVD,11105,11105
18 AV,11204,11204
BIRCH AV,10301,10301
SLATER BLVD,10305,10305
E 17 ST,11226,11226
YORK AV,10065,10065
THOMAS JEFFERSON PARK PATH,10029,10029
CATON AV,11226,11226
178 ST,11434,11434
EXETER ST,11375,11375
SNEDIKER AV,11207,11207
BLEECKER ST,10014,10014
4 ST,11205,11205
E 105 ST,10029,10029
95 AV,11416,11416
TENBROECK AV,10461,10461
39 ST,11218,11218
W 192 ST,10040,10040
PARK AV,11205,11205
NARROWS RD S,10305,10305
WHITE PLAINS RD,10467,10467
UNION TP,11364,11364
W 25 ST,10001,10001
RIGBY AV,10306,10306
65 ST,11219,11219
CROSS BAY BLVD,11693,11693
QUEENS BLVD,11373,11373
E 121 ST,10035,10035
GOWANUS EXWY,11209,11209
35 AV,11358,11358
BARNES AV,10466,10466
E 86 ST,10028,10028
SHORE PKWY,11224,11224
HORIZON CT,10473,10473
KINGSLAND AV,10469,10469
MACOMBS RD,10453,10453
74 AV,11375,11375
TILDEN AV,11203,11203
FT HAMILTON PKWY,11209,11209
EAST DR,11226,11226
AV V,11234,11234
133 AV,11413,11413
BEP EB EN CROSS BAY BLVD NB,11414,11414
WHITE PLAINS RD,10473,10473
138 ST,11367,11367
CLASON PT GRDNS HOUSES PED PATH,10473,10473
RFK BRIDGE PED AND BIKE PATH,10035,10035
CORONA AV,11368,11368
TODT HILL RD,10314,10314
234 ST,11422,11422
VAN BUREN ST,11221,11221
HAMPTON AV,11235,11235
86 RD,11421,11421
HENRY KAUFMANN CAMPGROUNDS DVWY,10314,10314
YELLOWSTONE BLVD,11375,11375
WOODS OF ARDEN RD,10312,10312
77 RD,11367,11367
LINCOLN TUN BUS EXIT,10018,10018
GLENMORE AV,11208,11208
ROCKAWAY AV,11212,11212
E 8 ST,11218,11218
FLUSHING AV,11249,11205
131 ST,11356,11356
HEGEMAN AV,11212,11212
ADAMS AV,10306,10306
133 ST,11419,11419
WEST ST,10014,10014
BENZIGER AV,10301,10301
MANOR RD,10314,10314
PARK AVE,10457,10457
OLMSTEAD AV,10473,10473
FOSTER AV,11210,11210
WASHINGTON SQ S,10011,10012
JOLINE AV,10307,10307
100 AV,11423,11423
SALERNO AV,11423,11423
14 AV,11357,11357
W 174 ST,10453,10453
20 AV,11204,11204
FLATBUSH AV EX,11201,11201
THORNYCROFT AV,10312,10312
89 AV,11421,11421
W 25 ST,10010,10010
CHITTENDEN AV,10033,10033
FRANCIS LEWIS BLVD,11411,11411
BRONX BLVD,10467,10467
MAJOR AV,10305,10305
BIKE PATH,10010,10010
135 AV,11420,11420
3 AV,10016,10016
WOEHRLE AV,10312,10312
UNION TP,11004,11004
FOSTER AV,11234,11234
HARLEM RIVER DRIVEWAY,10033,10033
NEW UTRECHT AV,11219,11219
DRIVEWAY,11367,11367
ONDERDONK AV,11385,11385
ONEIDA AV,10470,10470
20 AV,11356,11356
82 AV,11426,11426
19 AV,11204,11204
ALLEY,10303,10303
BENSON AV,11214,11214
ALLEY,11367,11367
143 RD,11434,11434
E 59 ST,10022,10022
E 98 ST,11212,11212
E 224 ST,10466,10466
GRAHAM CT,11354,11354
DAHILL RD,11204,11204
BRADLEY AV,11101,11101
69 AV,11364,11364
ALLEY,11212,11212
6 AV,11215,11215
LINCOLN TUN EN,10018,10018
119 RD,11434,11434
ARROWOOD CT,10309,10309
UNNAMED ST,11697,11697
BOLTON AV,10473,10473
WILLIAMSBURG HOUSES PED PATH,11206,11206
ANNADALE RD,10312,10312
FREDERICK DOUGLASS BOULEVARD,10030,10030
BEACH 129 ST,11694,11694
MAURICE AV,11378,11378
METROPOLITAN AV,10462,10462
COMMONWEALTH BLVD,11426,11426
SOUNDVIEW PARK GREENWAY,10473,10473
ROBERT F KENNEDY BRG,11102,11102
147 ST,11354,11354
GW BRIDGE BIKE AND PEDESTRIAN PATH,10033,10033
E 174 ST,10457,10457
PEDESTRIAN OPAS,11231,11231
GRAND AV,11373,11373
BOLIVAR ST,10314,10314
DRIGGS AV,11211,11211
109 AV,11435,11435
64 AV,11365,11365
E 149 ST,10451,10451
JAMAICA AV,11426,11426
AV W,11223,11223
BETHESDA TER PATH,83,83
BERGEN ST,11213,11213
FULTON ST,11201,11201
BOSTON RD,10460,10460
27 AV,11354,11354
GODWIN TER,10463,10463
ARCHER AVE,11433,11433
MEADOW LAKE PR,11355,11355
RUTLAND RD,11212,11212
BERRY HOUSES PEDESTRIAN PATH,10306,10306
HENRY HUDSON PARKWAY ET 14 NB,10033,10033
E 70 ST,10021,10021
SUTTER AV,11417,11417
SHORE BLVD,11105,11105
BLAKE AV,11212,11212
ST GEORGE RD,10306,10306
COMMONWEALTH AV,10473,10473
211 ST,11429,11429
S RAILROAD AV,10306,10306
149 ST,11357,11357
UNION ST,11354,11354
CENTRE MALL,11231,11231
CENTRAL AV,11207,11207
SHORE AV,11435,11435
COLONIAL AVE PEDESTRIAN OPAS,11368,11368
BEACH CHANNEL DR,11693,11693
MAIN ST,11355,11355
102 ST,11374,11374
MIDLAND PKWY,11432,11432
ALLEY,11368,11368
110 RD,11412,11412
ALLEY,11209,11209
69 ST,11377,11377
247 ST,11426,11426
HICKS ST,11231,11231
W 69 ST,10023,10023
E TREMONT AV,10465,10465
39 AV,11363,11363
RICHMOND AVE,10312,10312
BAY 16 ST,11214,11214
ROGERS AV,11216,11216
173 ST,11365,11365
ALLEY,11355,11355
ALLEY,11379,11379
LONG ISLAND EXPY,11375,11375
BORINQUEN PL,11211,11211
HUDSON ST,10014,10014
RICHMOND AV,10314,10314
WEBSTER AV,10467,10467
COLDEN ST,11355,11355
BEACH 61 ST,11692,11692
E 212 ST,10469,10469
W 32 ST,11224,11224
BLAKE AV,11212,11212
BROOKVILLE BLVD,11422,11422
LINCOLN TUN BUS APPR,10018,10018
ELMWOOD PARK DR,10314,10314
GARRISON AV,10474,10474
130 PL,11430,11430
JEWEL AVE,11365,11365
GRISWOLD AV,10465,10465
ATLANTIC AV,11216,11216
KENILWORTH PL,11210,11210
BLEECKER ST,10012,10012
217 ST,11428,11428
DOVER ST,11235,11235
LONG ISLAND EXPY,11367,11367
E FORDHAM RD,10458,10458
58 AV,11364,11364
BRUCKNER EXWY,10473,10473
ST ANDREWS PLACE,10307,10307
JFK EXWY NB EXIT NASSAU EXWY EB,11430,11430
LOUISIANA AV,11239,11239
WILLIAMSBURG BR,10002,10002
LYON AV,10462,10462
17 ST,11215,11215
58 ST,11219,11219
164 ST,11432,11432
CLAY AV,10456,10456
UTOPIA PKWY,11366,11366
LINDEN BLVD,11208,11208
21 ST,11102,11102
CANAL ST,10013,10013
MOTT ST,10012,10012
NEWKIRK AV,11226,11226
FOCH BLVD,11434,11434
GRAND AV,11373,11373
BROOKLYN BRDG PED AND BIKE PTH,11201,11201
BEACH 68 ST,11692,11692
NAGLE AV,10034,10034
ALLEY,11207,11207
E TREMONT AV,10461,10461
213 ST,11361,11361
CROSS BRONX EXPY,10465,10465
28 AV,11354,11354
ALLEY,11375,11375
46 AV,11368,11368
GRAND CENTRAL PKWY EXIT 9 EB,11368,11368
SHORE PKWY,11214,11214
GRND CNTRL PKWY EN EB,11369,11396
KEIBER CT,10314,10314
E 162 ST,10451,10451
WEBSTER AV,10457,10457
URBANA ST,10304,10304
VAN WYCK EXPY,11367,11367
KINGSLAND AV,10469,10469
PARK AV,10021,10021
19 ST,11105,11105
WILLIS AVENUE BRIDGE BIKE PATH,10035,10035
UNNAMED ST,11691,11691
UNION TP,11004,11004
DEWITT PL,10469,10469
NASSAU EXWY,11430,11430
N SHR TOWER DRIVEWAY,11005,11005
N SHR TOWER DRIVEWAY,11005,11005
161 AV,11414,11414
MYRTLE AV,11385,11385
GREENWICH ST,10013,10013
PROSPECT PL,11238,11238
BQE WB EN LAUREL HILL BLVD WB,11377,11377
MACOMBS DAM BR,10451,10451
LITTLE WEST ST,10004,10280
SAND LA,10305,10305
CYRUS AV,11229,11229
ROSEDALE AV,10472,10472
ELDER AVE PEDESTRIAN OPAS,10473,10473
E NEW YORK AV,11225,11225
ABINGDON AV,10308,10308
G WASHINGTON BR,10033,10033
NEW ENGLAND THRWY,10465,10465
COMMERCE ST,10014,10014
PITMAN AV,10466,10466
MERRICK BLVD,11433,11433
58 AV,11355,11355
CLEARVIEW EXWY,11364,11364
PELICAN CIR,10306,10306
BAGLEY AV,11358,11358
212 PL,11428,11428
ALVERSON LOOP,10309,10309
HOLLY ST,10304,10304
RICHMOND AV,10314,10314
63 AV,11379,11379
HAZEN ST,11370,11370
87 ST,11369,11369
MADISON AV,10022,10022
ALLEY,11103,11103
E 144 ST,10454,10454
150 AV,11420,11420
E 59 ST,10022,10022
ALLEY,11358,11358
CROSS ISLAND PKWY,11429,11429
29 AV,11358,11358
FLATLANDS AV,11234,11234
KINGS HWY,11234,11234
2 AV,10016,10016
RICHMOND TER,10302,10302
CORTLANDT WAY,10080,10080
E 175 ST,10457,10457
QUEENS BLVD,11377,11377
BROADWAY,10025,10025
CROTONA AV,10457,10457
87 ST,11385,11385
RICHMOND TER,10301,10301
34 AV,11372,11372
MAIN ST,11367,11367
E 121 ST,10035,10035
150 ST,11435,11435
73 ST,11209,11209
DITMARS BLVD,11370,11370
BRIGHTON 10 ST,11235,11235
ALLEY,11103,11103
164 ST,11365,11365
CROSS ISLAND PKWY,11411,11411
GRAND CENTRAL PKWY,11432,11432
143 PL,11357,11357
ALLEY,11229,11229
NORTHERN BLVD,11361,11361
WARING AV,10467,10467
LADD AV,10312,10312
W 50 ST,10112,10020
FRESH KILLS PARK PEDESTRIAN PATH,10314,10314
DIVISION ST,10002,10002
GRAND CENTRAL PKWY,11426,11426
SKILLMAN AV,11101,11101
SUTTER AV,11212,11212
DRIVEWAY,10023,10023
E 21 ST,11235,11235
32 AV,11369,11369
E 89 ST,10128,10128
ADELPHI ST,11205,11205
162 ST,11366,11366
85 AV,11427,11427
ALLEY,,
E 104 ST,10029,10029
222 ST,11413,11413
E 21 ST,11235,11235
AV M,11234,11234
HIGHLAND PL,11697,11697
BAY RIDGE AV,11220,11220
W BRIGHTON AV,11224,11224
E 14 ST,11229,11229
WESTWOOD AV,10314,10314
227 ST,11429,11429
37 ST,11105,11105
CLINTON ST,10002,10002
1 AV,10028,10028
ALLEY,11417,11417
E 174 ST,10457,10457
ILION AV,11412,11412
RESERVOIR AV,10468,10468
UNIVERSITY AVE,10453,10453
E 14 ST,10003,10003
E 156 ST,10451,10451
E 9 ST,11230,11230
WATERBURY-BAISLEY AVE PED OPAS,10465,10465
MILL AV,11234,11234
NOEL ST,10312,10312
DOUGLAS RD,11363,11363
3 AV,11220,11220
BELMONT AV,11208,11208
SUMMIT AV,10452,10452
W 148 ST,10039,10039
VANDALIA AV,11239,11239
JEROME AV,10452,10452
STAGG WALK,11206,11206
COSTER ST,10474,10474
NORMAN AV,11222,11222
N MEADOW PATH,83,83
ALLEY,11220,11220
E 137 ST,10454,10454
164 ST,11365,11365
RAMP,11436,11436
ALLEY,11101,11101
133 AV,11413,11413
26 AV,11360,11360
148 ST,11357,11357
60 RD,11378,11378
168 ST,11433,11433
GREEN VALLEY RD,10312,10312
PORTER AV,11222,11222
PERRY ST,10014,10014
PARSONS BLVD,11366,11366
USS NEW MEXICO CT,10305,10305
ALSTON PL,11363,11363
NEW LOTS AV,11207,11207
W SHORE EXWY,10314,10314
GATES AV,11221,11221
FULTON AV,10456,10456
