ST_LABEL,L_ZIP,R_ZIP
SCHENECTADY AVE,11203,11203
154 ST,11354,11354
DRUMGOOLE RD W,10312,10312
COSTER ST,10474,10474
ALLEY,11377,11377
138 AV,11422,11422
GEE AV,11205,11205
SPRINGFIELD BLVD,11427,11427
KINGDOM AV,10312,10312
19 ST,11105,11105
W 187 ST,10033,10033
LENOX AV,10026,10026
34 AV,11358,11358
WASHINGTON AV,11238,11238
172 ST,11432,11432
BEACH 169 ST,11695,11694
78 RD,11367,11367
129 ST,11419,11419
BRONX RIVER PARKWAY ET 2 W NB,10472,10472
ROCKAWAY BEACH BLVD,11691,11691
149 AV,11420,11420
CLEARVIEW EXWY NB EN 73 AV,11364,11364
ANDREWS AV S,10453,10453
GILDERSLEEVE AV,10473,10473
WOODSIDE AV,11377,11377
E 18 ST,11229,11229
AMBOY RD,10309,10309
VANDERVEER ST,11428,11428
LEWIS AV,11221,11221
PARK AV,11206,11206
COMMONWEALTH BLVD,11426,11426
ATLANTIC AV,11416,11416
CONNECTOR,10002,10002
LONG ISLAND EXPY,11367,11367
AV J,11234,11234
EDGERTON BLVD,11432,11432
E 46 ST,11203,11203
LOOP RD,10314,10314
ALLEY,11102,11102
NEW SPRINGVILLE GREENWAY,10314,10314
THROGS NECK EXPY,10465,10465
DAHLIA ST,10312,10312
RADDE PL,11233,11233
MESEROLE AV,11222,11222
3 AV,10035,10035
BORDEN AV,11378,11378
GRAND ST,10013,10013
112 AV,11433,11433
SUTTER AV,11417,11417
AV H,11234,11234
7 AV,11220,11220
HENRY HUDSON PARKWAY ET 13 SB,10032,10032
THROGS NECK BR,10465,10465
NORTH ST,10473,10473
CLARKSON AV,11203,11203
BRONX SHORE RD,10035,10035
5 AV,11220,11220
MN BR APPR,10002,10002
W 56 ST,10019,10019
DUMONT AV,11212,11212
89 AV,11423,11423
126 AV,11434,11434
58 AV,11365,11365
85 ST,11379,11379
95 AV,11419,11419
3 AV,11209,11209
86 ST,11223,11223
CROSS ISLAND PKWY,11357,11357
64 CIR,11365,11365
RIVERSIDE DR,10034,10034
148 AV,11422,11422
BUFFALO ST,10306,10306
ALLEY,11373,11373
BROOKLYN QUEENS EXPY EXIT 41 WB,11377,11377
COLLEGE PT BLVD,11355,11355
VINELAND AV,10312,10312
E 102 ST,10029,10029
AMARON LA,10307,10307
FAIRVIEW AV,10314,10314
ELLIS-GLEASON AVE PED OPAS,10462,10462
WILDFOWL POND PATH,10460,10460
EMMONS AV,11235,11235
RIKERS ISLAND ACCESS RD,11370,11370
MAJOR DEEGAN EXWY,10463,10463
GERRITSEN AV,11229,11229
140 AV,11434,11434
GUY R BREWER BLVD,11434,11434
QUENTIN RD,11223,11223
THAYER ST,10040,10040
ONTARIO AV,10301,10301
KINGS HWY,11212,11212
SAWYER AV,11427,11427
215 ST,11428,11428
FREMONT AV,10306,10306
BELT PKWY,11234,11234
FLUSHING AV,11378,11378
GLEN OAKS SCHOOL CAMPUS DY,11426,11426
BOWERY,10002,10002
HARLEM RIVER DR,10037,10037
KOREAN VETS PARKWAY EXIT WB,10309,10309
AV M,11236,11236
19 ST,11105,11105
RANDALLS ISLAND GREENWAY,10035,10035
PLATT ST,10306,10306
STONE LA,10314,10314
JAMAICA AV,11418,11418
BROOKLYN QUEENS EXWY,11211,11211
14 AV,11228,11228
BORDEN AV,11101,11101
FOX ST,10459,10459
5 ST,11101,11101
E 179 ST,10460,10460
CANARSIE RD,11236,11236
23 AV,11357,11357
18 AV,11356,11356
MEDFORD RD,10304,10304
E NEW YORK AV,11207,11207
30 AV,11377,11377
E 68 ST,11234,11234
UTOPIA CT,10304,10304
BEACH 9 ST,11691,11691
SEXTON PL,10469,10469
1 AV,10017,10017
JEWEL AVE,11367,11367
E 8 ST,11218,11218
LENORE CT,10314,10314
CROSS BRONX EXPWY ET 1 C-D SB,10452,10453
CONNER ST,10475,10475
TILDEN AV,11226,11226
28 AV,11360,11360
O'CONNELL CT,11373,11373
W 46 ST PEDESTRIAN OPAS,10036,10036
JAMAICA AV,11423,11423
PRESIDENT ST,11231,11231
1 ST,11215,11215
GRAND CENTRAL PKWY,11103,11103
PARKER ST,10462,10462
AV J,11210,11210
HILLSIDE AV,11426,11426
WELDON ST,11208,11208
MAJOR AVE,10305,10305
WILLIAMSBRIDGE RD,10461,10461
HEYWARD ST,11206,11206
PARK DR,10464,10464
FDR DR NB EN BK BR,10038,10038
95 AV,11419,11419
LAMONT AV,10309,10309
CIP SB EN CLINTONVILLE ST,11357,11357
CREEKSIDE AVE,11697,11697
NOME AV,10314,10314
OCEAN PARKWAY BIKE PATH,11224,11224
ALLEY,11697,11697
PROSPECT AV,11218,11218
