,hood_name,amount,borough_name,latitude,longitude,log_amount,Manhattan_drive_time,Manhattan_subway_time,JFK_airport_drive_time
62,Concourse Village,387304.0,BRONX,40.82478049084294,-73.91584652759016,5.588051982317756,33.03333333333333,40.416666666666664,35.583333333333336
63,Coney Island,581878.0,BROOKLYN,40.57429256471605,-73.98868295821644,5.764831937431905,44.016666666666666,62.016666666666666,27.85
64,Country Club,598389.5,BRONX,40.84424593694742,-73.82409926753857,5.776983964314848,35.11666666666667,68.53333333333333,28.866666666666667
65,Crown Heights,1076606.0,BROOKLYN,40.67082917695298,-73.9432911907359,6.032056795839719,38.53333333333333,33.03333333333333,33.36666666666667
66,Cypress Hills,712389.0,BROOKLYN,40.6846357939163,-73.87583132262635,5.852717204900999,33.6,55.71666666666667,19.616666666666667
67,Ditmas Park,962283.5,BROOKLYN,40.64367518334101,-73.96101312466787,5.983303039134668,36.333333333333336,35.46666666666667,39.733333333333334
68,Dongan Hills,653943.0,STATEN ISLAND,40.58867294819932,-74.09639905312528,5.815539895320758,46.03333333333333,53.733333333333334,40.25
69,Douglaston,1023615.0,QUEENS,40.766846097907674,-73.74249820727337,6.010136641390116,32.38333333333333,39.56666666666667,22.216666666666665
70,Downtown,766078.0,BROOKLYN,40.69084402109806,-73.98346337431106,5.88427299057908,23.233333333333334,23.316666666666666,33.666666666666664
71,Downtown Flushing,820455.0,QUEENS,40.76116362081876,-73.82936758711861,5.914054766025765,27.833333333333332,40.416666666666664,21.483333333333334
72,Dumbo,1280986.0,BROOKLYN,40.70317632822696,-73.98875280745047,6.1075443833309695,24.5,36.21666666666667,34.9
73,Dyker Heights,988767.5,BROOKLYN,40.61921945772268,-74.01931375636029,5.995094183065709,34.56666666666667,55.516666666666666,31.7
74,East Elmhurst,934862.5,QUEENS,40.764073238830946,-73.86704147658779,5.970747739340393,26.1,47.71666666666667,20.716666666666665
75,East Flatbush,579554.0,BROOKLYN,40.64171776668965,-73.93610256185843,5.76309390761527,46.38333333333333,54.61666666666667,31.466666666666665
76,East Harlem,827610.0,MANHATTAN,40.79224946663037,-73.94418223148531,5.917825729599523,23.6,29.1,31.0
77,East New York,701834.0,BROOKLYN,40.66992570084708,-73.88069863917373,5.846234403569773,41.0,54.21666666666667,17.9
78,East Tremont,480469.0,BRONX,40.84269615786057,-73.88735617532345,5.681665372101854,33.166666666666664,46.06666666666667,32.46666666666667
79,East Village,903317.0,MANHATTAN,40.72784677727029,-73.98222616506425,5.955840183526698,16.483333333333334,20.366666666666667,36.55
80,East Williamsburg,1111315.0,BROOKLYN,40.70849241041552,-73.93885815269203,6.045837176287162,25.6,20.05,32.0
81,Eastchester,668210.0,BRONX,40.88755567735082,-73.82780644716419,5.82491297072193,36.95,61.03333333333333,31.733333333333334
82,Edenwald,550497.0,BRONX,40.88456130303736,-73.84808271877175,5.7407549565739,40.2,68.95,34.983333333333334
83,Edgemere,555755.5,QUEENS,40.59564180736854,-73.77613282391712,5.744883769360827,56.016666666666666,73.78333333333333,31.25
84,Edgewater Park,321028.0,BRONX,40.82198611816354,-73.81388514428627,5.5065429131374914,32.8,84.2,27.8
85,Egbertville,716103.5,STATEN ISLAND,40.579118742961256,-74.12727240604953,5.854975796372656,45.25,93.71666666666667,41.88333333333333
86,Elm Park,494919.0,STATEN ISLAND,40.63014674119387,-74.14181678968897,5.694534126748647,39.3,69.5,39.78333333333333
87,Elmhurst,1071081.5,QUEENS,40.744048505122066,-73.88165622288396,6.029822518127481,23.616666666666667,29.033333333333335,27.166666666666668
88,Eltingville,645960.0,STATEN ISLAND,40.54223074745079,-74.16433080419367,5.810205625863313,49.63333333333333,73.1,52.43333333333333
89,Emerson Hill,1127985.0,STATEN ISLAND,40.606794394801035,-74.09776206972529,6.0523033244163456,42.11666666666667,71.91666666666667,36.333333333333336
90,Far Rockaway,619949.0,QUEENS,40.60313443250093,-73.7549796804388,5.792355963805359,52.083333333333336,80.58333333333333,27.3
91,Fieldston,1136226.0,BRONX,40.895437426903875,-73.90564259591689,6.055464722916364,31.516666666666666,61.766666666666666,39.45
92,Financial District,1202878.0,MANHATTAN,40.70710710727052,-74.01066544521277,6.080221581942,24.8,20.7,43.333333333333336
93,Flatbush,1197101.0,BROOKLYN,40.63632589026681,-73.95840106533912,6.07813079359122,38.9,38.333333333333336,35.28333333333333
94,Flatiron,1519790.0,MANHATTAN,40.73967304763847,-73.99094710528267,6.181783582588254,6.583333333333333,8.066666666666666,36.983333333333334
95,Flatlands,565541.0,BROOKLYN,40.6304460437575,-73.92911302644681,5.752464095429996,49.95,68.28333333333333,26.616666666666667
96,Floral Park,653057.0,QUEENS,40.74137842194548,-73.70884705889253,5.814951088939876,33.31666666666667,74.78333333333333,19.516666666666666
97,Fordham,245679.0,BRONX,40.86099679638657,-73.8964265598163,5.390368035707213,36.3,35.983333333333334,35.583333333333336
98,Forest Hills,1429265.0,QUEENS,40.725263782165065,-73.8444750078899,6.155112758789437,25.383333333333333,34.166666666666664,16.683333333333334
99,Forest Hills Gardens,1167773.0,QUEENS,40.71461108151174,-73.84102211234017,6.067358429738211,30.05,40.28333333333333,19.1
