,index,CMPLNT_NUM,LAW_CAT_CD,OFNS_DESC,BORO_NM,Latitude,Longitude
5393,5393,774328217,MISDEMEANOR,PETIT LARCENY,MANHATTAN,40.739976141000064,-73.99073451999998
5394,5394,704076306,FELONY,GRAND LARCENY,MANHATTAN,40.76597148800005,-73.98900170299999
5395,5395,712012576,MISDEMEANOR,OFFENSES AGAINST PUBLIC ADMINI,QUEENS,40.759577798000066,-73.83014069999997
5396,5396,138044353,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,BRONX,40.843353265000076,-73.82514155099993
5397,5397,483984171,FELONY,BURGLARY,BROOKLYN,40.68913703900005,-73.93178928699997
5398,5398,882240292,FELONY,BURGLARY,QUEENS,40.74099546300005,-73.82805173599995
5399,5399,907486707,MISDEMEANOR,PETIT LARCENY,BRONX,40.818872898000045,-73.83815089999997
5400,5400,409289014,FELONY,DANGEROUS WEAPONS,BROOKLYN,40.66863761800005,-73.95725983899997
5401,5401,392325667,MISDEMEANOR,PETIT LARCENY,BRONX,40.83778161800007,-73.91945797099999
5402,5402,347043714,FELONY,POSSESSION OF STOLEN PROPERTY,BROOKLYN,40.669271827000046,-73.91355493199995
5403,5403,109776534,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,BROOKLYN,40.63190120100006,-73.88770298799993
5404,5404,797047163,MISDEMEANOR,PETIT LARCENY,BROOKLYN,40.72297585600006,-73.93908910199998
5405,5405,106079498,MISDEMEANOR,PETIT LARCENY,BRONX,40.81269913700004,-73.92161973599997
5406,5406,424853740,MISDEMEANOR,PETIT LARCENY,MANHATTAN,40.71280317600008,-74.00744659499998
5407,5407,300753344,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,BROOKLYN,40.69293103200005,-73.93790851499993
5408,5408,317460799,VIOLATION,HARRASSMENT 2,BROOKLYN,40.691882561000064,-73.99244323999993
5409,5409,296143872,FELONY,GRAND LARCENY,QUEENS,40.76469406300004,-73.91434801399998
5410,5410,888075464,FELONY,FORGERY,MANHATTAN,40.757240531000036,-73.98979363699993
5411,5411,552681533,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,QUEENS,40.68113210100006,-73.82264650099995
5412,5412,953039983,VIOLATION,HARRASSMENT 2,BROOKLYN,40.67687694800003,-74.00664222699999
5413,5413,169100981,FELONY,DANGEROUS WEAPONS,BRONX,40.81297520800007,-73.91609216799998
5414,5414,802378957,FELONY,FELONY ASSAULT,BRONX,40.86603507500007,-73.89193541699996
5415,5415,691481423,FELONY,GRAND LARCENY,BROOKLYN,40.60915087500007,-73.98186766099997
5416,5416,340512516,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,MANHATTAN,40.75032662300004,-73.99111204499997
5417,5417,823559333,FELONY,CRIMINAL MISCHIEF & RELATED OF,BRONX,40.81764185400005,-73.92084799399998
5418,5418,233862859,VIOLATION,HARRASSMENT 2,QUEENS,40.724814451000036,-73.87679879599993
5419,5419,470325752,MISDEMEANOR,PETIT LARCENY,QUEENS,40.712426720000046,-73.91571013499998
5420,5420,337212974,MISDEMEANOR,PETIT LARCENY,STATEN ISLAND,40.62221251000005,-74.08265507199997
5421,5421,971907888,FELONY,ROBBERY,BRONX,40.82166422800003,-73.91885603399999
5422,5422,185883594,MISDEMEANOR,PETIT LARCENY,MANHATTAN,40.87013885400006,-73.91551022899995
5423,5423,786519701,MISDEMEANOR,PETIT LARCENY,STATEN ISLAND,40.63333673600005,-74.07526138699995
5424,5424,567773729,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,MANHATTAN,40.78164000800007,-73.94590332499997
5425,5425,190632301,FELONY,MISCELLANEOUS PENAL LAW,BROOKLYN,40.69250561300004,-73.97369893499997
5426,5426,391757794,VIOLATION,HARRASSMENT 2,BROOKLYN,40.680669038000076,-73.90764531399995
5427,5427,574052262,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,QUEENS,40.752330140000026,-73.85958573399995
5428,5428,222404741,MISDEMEANOR,OFFENSES AGAINST THE PERSON,BROOKLYN,40.63670610200006,-73.91143889899995
5429,5429,269345493,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,QUEENS,40.762043893000055,-73.82732958099997
5430,5430,387133125,VIOLATION,HARRASSMENT 2,MANHATTAN,40.71899921800008,-73.97924760999997
5431,5431,651839569,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,BRONX,40.818789442000025,-73.88807769499994
5432,5432,370138915,FELONY,ROBBERY,BRONX,40.88170569400006,-73.86210791199994
5433,5433,449340945,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,BROOKLYN,40.68337946900005,-73.90932896099997
5434,5434,189762011,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,MANHATTAN,40.76165954800007,-73.96293250099995
5435,5435,814928651,MISDEMEANOR,SEX CRIMES,BRONX,40.816391847000034,-73.89529641399997
5436,5436,335934975,VIOLATION,HARRASSMENT 2,QUEENS,40.77083123400007,-73.92613854899997
5437,5437,386114539,MISDEMEANOR,VEHICLE AND TRAFFIC LAWS,BROOKLYN,40.643366110000045,-74.00138154099994
5438,5438,589739956,FELONY,ROBBERY,STATEN ISLAND,40.576973140000064,-74.16973617499998
5439,5439,529961012,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,BRONX,40.84095655600004,-73.86333442899995
5440,5440,683818655,FELONY,GRAND LARCENY,BROOKLYN,40.63695862600008,-74.02996437099996
5441,5441,146705986,FELONY,GRAND LARCENY,QUEENS,40.721900782000034,-73.88883205699995
5442,5442,212824852,MISDEMEANOR,INTOXICATED & IMPAIRED DRIVING,BROOKLYN,40.660495787000045,-73.96281209999995
5443,5443,426490257,MISDEMEANOR,DANGEROUS DRUGS,BROOKLYN,40.64796298800008,-73.94828920599997
5444,5444,553654835,FELONY,GRAND LARCENY,QUEENS,40.730517185000046,-73.86617680599994
5445,5445,960610836,FELONY,DANGEROUS WEAPONS,BRONX,40.89725968400006,-73.85525006299997
5446,5446,185426477,MISDEMEANOR,PETIT LARCENY,STATEN ISLAND,40.51158633800003,-74.24930372699998
5447,5447,111968229,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,BROOKLYN,40.71328934500008,-73.96478823399997
5448,5448,762967312,FELONY,BURGLARY,BRONX,40.836707767000064,-73.86335761199997
5449,5449,844126602,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,MANHATTAN,40.803526529000074,-73.95219219899997
5450,5450,394611427,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,QUEENS,40.75317561400004,-73.82192773199995
5451,5451,339566038,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,QUEENS,40.76365704700004,-73.80778496999993
